world,optimiser_name,outcome,rollout_times,planning_time,model_reduction_time,iterations
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.0169477462768555, 4.025225877761841, 4.2026448249816895], [6.1443188190460205, 6.05048131942749, 6.044836759567261, 6.113468170166016], [8.025585174560547]]",50.84848165512090,1.8058249950408900,"[3, 4, 1]"
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.820558547973633, 5.9258575439453125, 6.015996217727661, 5.87203311920166], [13.073960065841675, 13.658769845962524]]",55.22513484954830,0.6332581043243410,"[4, 2]"
rtc_1.xml,NMR,SUCCESS,"[[12.93560791015625, 12.974632501602173, 13.622355222702026, 13.648723840713501]]",54.545506954193100,0,[4]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.757730007171631, 3.699286699295044, 3.7664904594421387, 3.738088369369507, 3.78316330909729, 3.6930079460144043], [4.608885288238525], [5.625579595565796], [6.83830714225769, 6.941354274749756]]",54.052849531173700,2.406125545501710,"[6, 1, 1, 2]"
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.180183172225952, 4.17688512802124, 4.381281137466431], [6.136836767196655]]",22.791166067123400,1.2502646446228000,"[3, 1]"
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.75250506401062, 5.856786012649536, 6.000534534454346, 5.824942350387573]]",25.46351981163030,0.6074953079223630,[4]
rtc_1.xml,NMR,SUCCESS,"[[12.986775636672974, 12.99459719657898, 13.617498397827148, 13.512144088745117, 13.510656356811523, 13.574162721633911, 13.73717999458313, 13.887613534927368]]",109.21410059928900,0,[8]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.7227678298950195, 3.6136765480041504, 3.8428053855895996, 3.7489256858825684], [0.0], [5.790855884552002]]",26.166404008865400,1.8362791538238500,"[4, 0, 1]"
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.0875327587127686, 4.154803276062012, 4.355716943740845]]",14.405152082443200,0.6352443695068360,[3]
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.822427034378052, 6.061251640319824, 6.189171075820923, 5.921543121337891]]",26.07426118850710,0.6121952533721920,[4]
rtc_1.xml,NMR,SUCCESS,"[[12.944085597991943, 12.933627605438232, 13.407581090927124, 13.14864468574524, 12.7791907787323]]",66.59063935279850,0,[5]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.7127022743225098, 3.628959894180298, 3.599763870239258, 3.754851818084717, 3.6224989891052246, 3.6406161785125732]]",23.67188596725460,0.6244080066680910,[6]
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.109065294265747, 4.102059364318848, 4.331237077713013, 4.304461717605591, 4.093455076217651], [5.91635799407959, 6.014349460601807, 6.02463698387146], [0.0], [13.235374450683594]]",60.978996992111200,1.80147385597229,"[5, 3, 0, 1]"
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.797044515609741, 6.002620220184326, 6.177006959915161, 5.9230568408966064], [13.18202018737793, 13.391286849975586, 13.110551595687866, 13.328913688659668, 13.438951015472412, 13.455210447311401]]",108.6942777633670,0.63423752784729,"[4, 6]"
rtc_1.xml,NMR,SUCCESS,"[[13.041779518127441, 12.968337535858154, 13.805647134780884, 13.623252630233765, 13.671635627746582]]",68.48566436767580,0,[5]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.706530809402466, 3.6466729640960693, 3.856590509414673, 3.7462244033813477, 3.606027841567993, 3.693603992462158], [0.0], [5.654223442077637]]",33.37897348403930,1.834763526916500,"[6, 0, 1]"
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.186361312866211, 4.055085182189941, 4.328800678253174, 4.285637855529785, 4.1319420337677], [6.010309219360352]]",30.80855131149290,1.2379579544067400,"[5, 1]"
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.865558624267578, 6.001504898071289, 6.1433210372924805, 5.922932147979736], [13.368656158447266, 13.853095293045044, 13.616880655288696, 13.61544394493103]]",83.37240052223210,0.6381311416625980,"[4, 4]"
rtc_1.xml,NMR,SUCCESS,"[[12.901504278182983, 13.042327880859375, 13.78772234916687, 13.667160749435425, 13.557253360748291]]",68.34367346763610,0,[5]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.7251267433166504, 3.582115650177002, 3.8202977180480957, 3.744194269180298], [4.666166067123413], [5.6998937129974365, 5.765238046646118]]",36.59291458129880,1.8898465633392300,"[4, 1, 2]"
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.105774164199829, 4.117375373840332, 4.316210031509399, 4.258908033370972, 4.087387323379517], [5.805085897445679, 6.055932283401489, 6.255491495132446]]",42.75799202919010,1.1918323040008500,"[5, 3]"
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.871142625808716, 6.050562381744385, 6.275597333908081, 6.035159111022949], [13.167510032653809, 13.406455755233765, 13.187789678573608, 13.175420999526978, 13.163241386413574, 13.470022916793823, 13.566499471664429, 13.430240869522095, 13.192556142807007, 13.33762526512146]]",162.27371907234200,0.6205003261566160,"[4, 10]"
rtc_1.xml,NMR,SUCCESS,"[[12.893777847290039, 13.0853431224823, 13.37938928604126, 13.532927751541138]]",54.25089645385740,0,[4]
rtc_1.xml,NMR,SUCCESS,"[[12.97335696220398, 13.015802383422852, 13.140717267990112, 13.534040451049805, 13.09358811378479, 13.244704246520996, 13.59762167930603, 13.765440464019775]]",107.76218914985700,0,[8]
rtc_1.xml,OCMR2-G3,SUCCESS,"[[3.6819801330566406, 3.586747407913208, 3.7247273921966553, 3.7876501083374023, 3.6332292556762695, 3.6815929412841797], [4.578435897827148, 4.667662620544434], [5.739573240280151, 5.88778829574585]]",48.484641313552900,1.8284125328064000,"[6, 2, 2]"
rtc_1.xml,OCMR2-G5,SUCCESS,"[[4.264348030090332, 4.258901119232178, 4.4823503494262695, 4.3824968338012695, 4.2651731967926025], [5.9779157638549805, 6.151362419128418], [7.932026147842407, 7.6831581592559814]]",55.49706673622130,1.8250184059143100,"[5, 2, 2]"
rtc_1.xml,OCMR2-G10,SUCCESS,"[[5.892375230789185, 5.969748258590698, 6.263387680053711, 6.022362232208252], [13.36130666732788, 13.842618227005005, 13.420285701751709, 13.567927598953247, 13.645395517349243, 14.120691537857056]]",111.10911011695900,0.6217405796051030,"[4, 6]"
rtc_1.xml,NMR,SUCCESS,"[[13.049204111099243, 13.049903154373169, 13.632993459701538, 13.600897073745728, 13.493441343307495]]",68.20806622505190,0,[5]
